upc,aisle,units,price,value
UPC-0042,Snacks,5,308.93,1544.65
UPC-0032,Beverages,1,599.87,599.87
UPC-0030,Beverages,7,769.9,5389.3
UPC-0038,Personal Care,2,421.01,842.02
UPC-0032,Frozen,5,516.25,2581.25
UPC-0016,Snacks,1,286.79,286.79
UPC-0039,Dairy,7,538.61,3770.27
UPC-0034,Personal Care,5,748.71,3743.55
UPC-0037,Personal Care,1,549.29,549.29
UPC-0006,Beverages,3,283.76,851.28
UPC-0045,Pantry,2,387.9,775.8
UPC-0027,Frozen,2,634.36,1268.72
UPC-0014,Pantry,1,618.52,618.52
UPC-0034,Frozen,1,282.53,282.53
UPC-0014,Produce,3,101.44,304.32
UPC-0040,Produce,2,809.91,1619.82
UPC-0029,Snacks,6,360.53,2163.18
UPC-0037,Frozen,7,76.84,537.88
UPC-0020,Frozen,4,601.77,2407.08
UPC-0048,Frozen,3,822.69,2468.07
UPC-0042,Pantry,5,242.13,1210.65
UPC-0034,Personal Care,6,772.4,4634.4
UPC-0029,Frozen,3,833.58,2500.74
UPC-0020,Produce,1,287.08,287.08
UPC-0033,Personal Care,2,101.07,202.14
UPC-0031,Pantry,4,848.55,3394.2
UPC-0001,Personal Care,2,226.88,453.76
UPC-0016,Dairy,2,201.21,402.42
UPC-0007,Snacks,3,672.12,2016.36
UPC-0016,Frozen,4,205.83,823.32
UPC-0036,Pantry,4,147.54,590.16
UPC-0022,Frozen,5,64.39,321.95
UPC-0006,Beverages,4,275.66,1102.64
UPC-0040,Frozen,5,389.88,1949.4
UPC-0034,Personal Care,3,837.47,2512.41
UPC-0005,Personal Care,5,847.57,4237.85
UPC-0027,Snacks,4,117.95,471.8
UPC-0015,Beverages,7,262.45,1837.15
UPC-0013,Snacks,2,753.63,1507.26
UPC-0028,Pantry,4,32.62,130.48
UPC-0012,Dairy,2,416.15,832.3
UPC-0032,Bakery,2,310.39,620.78
UPC-0021,Produce,7,537.25,3760.75
UPC-0001,Beverages,6,158.69,952.14
UPC-0046,Pantry,3,239.11,717.33
UPC-0020,Beverages,5,168.47,842.35
UPC-0018,Dairy,6,382.7,2296.2
UPC-0041,Frozen,7,246.68,1726.76
UPC-0011,Snacks,1,692.03,692.03
UPC-0027,Frozen,6,216.64,1299.84
UPC-0031,Snacks,1,353.73,353.73
UPC-0017,Personal Care,2,166.21,332.42
UPC-0044,Frozen,7,790.14,5530.98
UPC-0016,Produce,4,47.64,190.56
UPC-0031,Frozen,1,363.96,363.96
UPC-0010,Produce,4,55.81,223.24
UPC-0018,Personal Care,6,521.58,3129.48
UPC-0015,Frozen,2,507.4,1014.8
UPC-0018,Pantry,6,369.41,2216.46
UPC-0010,Bakery,4,106.42,425.68
UPC-0023,Bakery,6,689.9,4139.4
